,Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA,Round_,Home_,Away_,HomeScore,AwayScore
31,Omgång 6,2019-05-15,Kungsbacka KUN,LB07 LIM,2-2,-48,-24,13,16,61,40,7,6,28,22,18,4,5,2,2
32,Omgång 6,2019-05-15,Kristianstad KRI,Linköping LFC,1-1,16,12,38,28,22,16,24,10,9,12,18,3,6,1,1
33,Omgång 6,2019-05-15,Djurgården DIF,Vittsjö VIT,1-3,-26,16,18,28,44,12,8,13,21,8,18,0,9,1,3
34,Omgång 6,2019-05-15,Rosengård FCR,Piteå PIT,2-0,34,7,46,23,12,16,31,9,7,8,18,8,7,2,0
35,Omgång 7,2019-05-19,Örebro ÖRE,Kungsbacka KUN,1-0,-3,-48,21,13,24,61,9,6,12,33,19,11,4,1,0
36,Omgång 7,2019-05-19,Kristianstad KRI,Eskilstuna ESK,3-0,16,9,38,27,22,18,24,14,9,12,19,3,1,3,0
37,Omgång 7,2019-05-19,Vittsjö VIT,Piteå PIT,0-0,16,7,28,23,12,16,15,9,4,8,19,9,7,0,0
38,Omgång 7,2019-05-19,Kopparbergs / Göteborg KOP,LB07 LIM,3-0,22,-24,39,16,17,40,19,6,7,22,19,2,5,3,0
39,Omgång 7,2019-05-20,Djurgården DIF,Växjö VÄX,3-0,-26,-15,18,21,44,36,8,7,21,24,19,0,10,3,0
40,Omgång 7,2019-05-20,Linköping LFC,Rosengård FCR,0-0,12,34,28,46,16,12,18,15,4,5,19,6,8,0,0
41,Omgång 3,2019-05-23,Piteå PIT,LB07 LIM,2-1,7,-24,23,16,16,40,14,6,8,22,15,7,5,2,1
42,Omgång 8,2019-07-20,LB07 LIM,Djurgården DIF,0-1,-24,-26,16,18,40,44,10,10,18,23,20,5,0,0,1
43,Omgång 8,2019-07-20,Kungsbacka KUN,Kristianstad KRI,0-5,-48,16,13,38,61,22,7,14,28,13,20,4,3,0,5
44,Omgång 8,2019-07-21,Rosengård FCR,Växjö VÄX,5-0,34,-15,46,21,12,36,31,7,7,24,20,8,10,5,0
45,Omgång 8,2019-07-21,Piteå PIT,Örebro ÖRE,0-3,7,-3,23,21,16,24,14,12,8,12,20,7,11,0,3
46,Omgång 8,2019-07-21,Vittsjö VIT,Kopparbergs / Göteborg KOP,2-4,16,22,28,39,12,17,15,20,4,10,20,9,2,2,4
47,Omgång 8,2019-07-22,Eskilstuna ESK,Linköping LFC,2-0,9,12,27,28,18,16,13,10,6,12,20,1,6,2,0
48,Omgång 9,2019-07-26,Växjö VÄX,LB07 LIM,3-1,-15,-24,21,16,36,40,14,6,12,22,21,10,5,3,1
49,Omgång 9,2019-07-26,Kristianstad KRI,Vittsjö VIT,0-3,16,16,38,28,22,12,24,13,9,8,21,3,9,0,3
50,Omgång 9,2019-07-27,Kopparbergs / Göteborg KOP,Örebro ÖRE,0-0,22,-3,39,21,17,24,19,12,7,12,21,2,11,0,0
51,Omgång 9,2019-07-27,Rosengård FCR,Kungsbacka KUN,6-1,34,-48,46,13,12,61,31,6,7,33,21,8,4,6,1
52,Omgång 9,2019-07-28,Linköping LFC,Piteå PIT,0-0,12,7,28,23,16,16,18,9,4,8,21,6,7,0,0
53,Omgång 9,2019-07-28,Djurgården DIF,Eskilstuna ESK,0-3,-26,9,18,27,44,18,8,14,21,12,21,0,1,0,3
54,Omgång 10,2019-07-31,Vittsjö VIT,Rosengård FCR,0-0,16,34,28,46,12,12,15,15,4,5,1,9,8,0,0
55,Omgång 10,2019-07-31,LB07 LIM,Linköping LFC,0-4,-24,12,16,28,40,16,10,10,18,12,1,5,6,0,4
56,Omgång 10,2019-07-31,Eskilstuna ESK,Kungsbacka KUN,3-0,9,-48,27,13,18,61,13,6,6,33,1,1,4,3,0
57,Omgång 10,2019-07-31,Växjö VÄX,Kristianstad KRI,2-2,-15,16,21,38,36,22,14,14,12,13,1,10,3,2,2
58,Omgång 10,2019-07-31,Örebro ÖRE,Djurgården DIF,3-1,-3,-26,21,18,24,44,9,10,12,23,1,11,0,3,1
59,Omgång 10,2019-07-31,Kopparbergs / Göteborg KOP,Piteå PIT,1-1,22,7,39,23,17,16,19,9,7,8,1,2,7,1,1
60,Omgång 11,2019-08-04,Linköping LFC,Kopparbergs / Göteborg KOP,1-0,12,22,28,39,16,17,18,20,4,10,2,6,2,1,0
61,Omgång 11,2019-08-04,Kristianstad KRI,Örebro ÖRE,2-0,16,-3,38,21,22,24,24,12,9,12,2,3,11,2,0
62,Omgång 11,2019-08-04,Kungsbacka KUN,Växjö VÄX,0-3,-48,-15,13,21,61,36,7,7,28,24,2,4,10,0,3
63,Omgång 11,2019-08-04,Piteå PIT,Eskilstuna ESK,3-1,7,9,23,27,16,18,14,14,8,12,2,7,1,3,1
64,Omgång 11,2019-08-04,LB07 LIM,Vittsjö VIT,0-3,-24,16,16,28,40,12,10,13,18,8,2,5,9,0,3
65,Omgång 11,2019-08-05,Djurgården DIF,Rosengård FCR,0-3,-26,34,18,46,44,12,8,15,21,5,2,0,8,0,3
66,Omgång 12,2019-08-09,Växjö VÄX,Djurgården DIF,2-1,-15,-26,21,18,36,44,14,10,12,23,3,10,0,2,1
67,Omgång 12,2019-08-10,Kopparbergs / Göteborg KOP,Kungsbacka KUN,6-0,22,-48,39,13,17,61,19,6,7,33,3,2,4,6,0
68,Omgång 12,2019-08-10,Örebro ÖRE,Piteå PIT,1-0,-3,7,21,23,24,16,9,9,12,8,3,11,7,1,0
69,Omgång 12,2019-08-10,Vittsjö VIT,LB07 LIM,4-0,16,-24,28,16,12,40,15,6,4,22,3,9,5,4,0
70,Omgång 12,2019-08-10,Rosengård FCR,Eskilstuna ESK,2-1,34,9,46,27,12,18,31,14,7,12,3,8,1,2,1
71,Omgång 12,2019-08-10,Linköping LFC,Kristianstad KRI,0-0,12,16,28,38,16,22,18,14,4,13,3,6,3,0,0
72,Omgång 13,2019-08-14,Eskilstuna ESK,Djurgården DIF,4-2,9,-26,27,18,18,44,13,10,6,23,4,1,0,4,2
73,Omgång 13,2019-08-14,Piteå PIT,Vittsjö VIT,0-0,7,16,23,28,16,12,14,13,8,8,4,7,9,0,0
