Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA
Omgång 9,2019-07-28,Djurgården DIF,Eskilstuna ESK,0-3,-23,10,21,28,44,18,11,14,21,12
Omgång 10,2019-07-31,LB07 LIM,Linköping LFC,0-4,-25,12,16,31,41,19,10,13,18,15
Omgång 10,2019-07-31,Eskilstuna ESK,Kungsbacka KUN,3-0,10,-51,28,13,18,64,14,6,6,36
Omgång 10,2019-07-31,Kopparbergs / Göteborg KOP,Piteå PIT,1-1,23,6,41,24,18,18,19,9,7,8
Omgång 10,2019-07-31,Vittsjö VIT,Rosengård FCR,0-0,18,34,30,49,12,15,17,15,4,5
Omgång 10,2019-07-31,Växjö VÄX,Kristianstad KRI,2-2,-14,14,23,38,37,24,16,14,13,15
Omgång 10,2019-07-31,Örebro ÖRE,Djurgården DIF,3-1,-4,-23,22,21,26,44,9,10,12,23
Omgång 11,2019-08-04,Linköping LFC,Kopparbergs / Göteborg KOP,1-0,12,23,31,41,19,18,18,22,4,11
Omgång 11,2019-08-04,Kristianstad KRI,Örebro ÖRE,2-0,14,-4,38,22,24,26,24,13,9,14
Omgång 11,2019-08-04,Kungsbacka KUN,Växjö VÄX,0-3,-51,-14,13,23,64,37,7,7,28,24
Omgång 11,2019-08-04,Piteå PIT,Eskilstuna ESK,3-1,6,10,24,28,18,18,15,14,10,12
Omgång 11,2019-08-04,LB07 LIM,Vittsjö VIT,0-3,-25,18,16,30,41,12,10,13,18,8
Omgång 11,2019-08-05,Djurgården DIF,Rosengård FCR,0-3,-23,34,21,49,44,15,11,15,21,5
Omgång 12,2019-08-09,Växjö VÄX,Djurgården DIF,2-1,-14,-23,23,21,37,44,16,10,13,23
Omgång 12,2019-08-10,Örebro ÖRE,Piteå PIT,1-0,-4,6,22,24,26,18,9,9,12,8
Omgång 12,2019-08-10,Vittsjö VIT,LB07 LIM,4-0,18,-25,30,16,12,41,17,6,4,23
Omgång 12,2019-08-10,Rosengård FCR,Eskilstuna ESK,2-1,34,10,49,28,15,18,34,14,10,12
Omgång 12,2019-08-10,Kopparbergs / Göteborg KOP,Kungsbacka KUN,6-0,23,-51,41,13,18,64,19,6,7,36
Omgång 12,2019-08-10,Linköping LFC,Kristianstad KRI,0-0,12,14,31,38,19,24,18,14,4,15
Omgång 13,2019-08-14,Eskilstuna ESK,Djurgården DIF,4-2,10,-23,28,21,18,44,14,10,6,23
Omgång 13,2019-08-14,Örebro ÖRE,Kopparbergs / Göteborg KOP,0-3,-4,23,22,41,26,18,9,22,12,11
Omgång 13,2019-08-14,Piteå PIT,Vittsjö VIT,0-0,6,18,24,30,18,12,15,13,10,8
Omgång 13,2019-08-14,Kristianstad KRI,Växjö VÄX,3-1,14,-14,38,23,24,37,24,7,9,24
Omgång 13,2019-08-14,Rosengård FCR,LB07 LIM,3-0,34,-25,49,16,15,41,34,6,10,23
Omgång 13,2019-08-14,Kungsbacka KUN,Linköping LFC,2-1,-51,12,13,31,64,19,7,13,28,15
Omgång 14,2019-08-18,Kopparbergs / Göteborg KOP,Kristianstad KRI,2-0,23,14,41,38,18,24,19,14,7,15
Omgång 14,2019-08-18,Eskilstuna ESK,Piteå PIT,1-1,10,6,28,24,18,18,14,9,6,8
Omgång 14,2019-08-18,Linköping LFC,Vittsjö VIT,2-1,12,18,31,30,19,12,18,13,4,8
Omgång 14,2019-08-20,LB07 LIM,Kungsbacka KUN,2-0,-25,-51,16,13,41,64,10,6,18,36
Omgång 14,2019-08-20,Växjö VÄX,Rosengård FCR,0-0,-14,34,23,49,37,15,16,15,13,5
Omgång 14,2019-08-21,Djurgården DIF,Örebro ÖRE,1-4,-23,-4,21,22,44,26,11,13,21,14
Omgång 15,2019-08-24,Kopparbergs / Göteborg KOP,Linköping LFC,1-1,23,12,41,31,18,19,19,13,7,15
Omgång 15,2019-08-24,Kungsbacka KUN,Eskilstuna ESK,0-4,-51,10,13,28,64,18,7,14,28,12
Omgång 15,2019-08-25,Vittsjö VIT,Växjö VÄX,2-0,18,-14,30,23,12,37,17,7,4,24
Omgång 15,2019-08-25,Piteå PIT,Rosengård FCR,1-1,6,34,24,49,18,15,15,15,10,5
Omgång 15,2019-08-25,Kristianstad KRI,Djurgården DIF,2-0,14,-23,38,21,24,44,24,10,9,23
Omgång 15,2019-08-25,Örebro ÖRE,LB07 LIM,0-1,-4,-25,22,16,26,41,9,6,12,23
Omgång 16,2019-09-07,Kungsbacka KUN,Vittsjö VIT,0-1,-51,18,13,30,64,12,7,13,28,8
Omgång 16,2019-09-07,LB07 LIM,Piteå PIT,1-1,-25,6,16,24,41,18,10,9,18,8
Omgång 16,2019-09-07,Örebro ÖRE,Kristianstad KRI,0-1,-4,14,22,38,26,24,9,14,12,15
Omgång 16,2019-09-07,Eskilstuna ESK,Kopparbergs / Göteborg KOP,2-1,10,23,28,41,18,18,14,22,6,11
Omgång 16,2019-09-07,Örebro ÖRE,Kristianstad KRI,0-1,-4,14,22,38,26,24,9,14,12,15
Omgång 16,2019-09-07,Kungsbacka KUN,Vittsjö VIT,0-1,-51,18,13,30,64,12,7,13,28,8
Omgång 16,2019-09-07,LB07 LIM,Piteå PIT,1-1,-25,6,16,24,41,18,10,9,18,8
Omgång 16,2019-09-07,Eskilstuna ESK,Kopparbergs / Göteborg KOP,2-1,10,23,28,41,18,18,14,22,6,11
Omgång 16,2019-09-08,Rosengård FCR,Djurgården DIF,3-1,34,-23,49,21,15,44,34,10,10,23
Omgång 16,2019-09-08,Rosengård FCR,Djurgården DIF,3-1,34,-23,49,21,15,44,34,10,10,23
Omgång 16,2019-09-09,Växjö VÄX,Linköping LFC,1-0,-14,12,23,31,37,19,16,13,13,15
Omgång 16,2019-09-09,Växjö VÄX,Linköping LFC,1-0,-14,12,23,31,37,19,16,13,13,15
Omgång 17,2019-09-13,Linköping LFC,Eskilstuna ESK,0-1,12,10,31,28,19,18,18,14,4,12
Omgång 17,2019-09-13,Linköping LFC,Eskilstuna ESK,0-1,12,10,31,28,19,18,18,14,4,12
Omgång 17,2019-09-14,Kristianstad KRI,Kungsbacka KUN,5-0,14,-51,38,13,24,64,24,6,9,36
