,Round,Date,Home,Away,Score,Round_,Home_,Away_,HomeScore,AwayScore
63,Omgång 11,2019-08-04,Piteå PIT,Eskilstuna ESK,3-1,2,7,1,3,1
64,Omgång 11,2019-08-04,LB07 LIM,Vittsjö VIT,0-3,2,5,9,0,3
65,Omgång 11,2019-08-05,Djurgården DIF,Rosengård FCR,0-3,2,0,8,0,3
66,Omgång 12,2019-08-09,Växjö VÄX,Djurgården DIF,2-1,3,10,0,2,1
67,Omgång 12,2019-08-10,Örebro ÖRE,Piteå PIT,1-0,3,11,7,1,0
68,Omgång 12,2019-08-10,Vittsjö VIT,LB07 LIM,4-0,3,9,5,4,0
69,Omgång 12,2019-08-10,Rosengård FCR,Eskilstuna ESK,2-1,3,8,1,2,1
70,Omgång 12,2019-08-10,Kopparbergs / Göteborg KOP,Kungsbacka KUN,6-0,3,2,4,6,0
71,Omgång 12,2019-08-10,Linköping LFC,Kristianstad KRI,0-0,3,6,3,0,0
72,Omgång 13,2019-08-14,Rosengård FCR,LB07 LIM,3-0,4,8,5,3,0
73,Omgång 13,2019-08-14,Kristianstad KRI,Växjö VÄX,3-1,4,3,10,3,1
74,Omgång 13,2019-08-14,Kungsbacka KUN,Linköping LFC,2-1,4,4,6,2,1
75,Omgång 13,2019-08-14,Örebro ÖRE,Kopparbergs / Göteborg KOP,0-3,4,11,2,0,3
76,Omgång 13,2019-08-14,Eskilstuna ESK,Djurgården DIF,4-2,4,1,0,4,2
77,Omgång 13,2019-08-14,Piteå PIT,Vittsjö VIT,0-0,4,7,9,0,0
78,Omgång 14,2019-08-18,Kopparbergs / Göteborg KOP,Kristianstad KRI,2-0,5,2,3,2,0
79,Omgång 14,2019-08-18,Eskilstuna ESK,Piteå PIT,1-1,5,1,7,1,1
80,Omgång 14,2019-08-18,Linköping LFC,Vittsjö VIT,2-1,5,6,9,2,1
81,Omgång 14,2019-08-20,LB07 LIM,Kungsbacka KUN,2-0,5,5,4,2,0
82,Omgång 14,2019-08-20,Växjö VÄX,Rosengård FCR,0-0,5,10,8,0,0
83,Omgång 14,2019-08-21,Djurgården DIF,Örebro ÖRE,1-4,5,0,11,1,4
84,Omgång 15,2019-08-24,Kopparbergs / Göteborg KOP,Linköping LFC,1-1,6,2,6,1,1
85,Omgång 15,2019-08-24,Kungsbacka KUN,Eskilstuna ESK,0-4,6,4,1,0,4
86,Omgång 15,2019-08-25,Vittsjö VIT,Växjö VÄX,2-0,6,9,10,2,0
87,Omgång 15,2019-08-25,Piteå PIT,Rosengård FCR,1-1,6,7,8,1,1
88,Omgång 15,2019-08-25,Kristianstad KRI,Djurgården DIF,2-0,6,3,0,2,0
89,Omgång 15,2019-08-25,Örebro ÖRE,LB07 LIM,0-1,6,11,5,0,1
90,Omgång 16,2019-09-07,Eskilstuna ESK,Kopparbergs / Göteborg KOP,2-1,7,1,2,2,1
91,Omgång 16,2019-09-07,Örebro ÖRE,Kristianstad KRI,0-1,7,11,3,0,1
92,Omgång 16,2019-09-07,LB07 LIM,Piteå PIT,1-1,7,5,7,1,1
93,Omgång 16,2019-09-07,Kungsbacka KUN,Vittsjö VIT,0-1,7,4,9,0,1
94,Omgång 16,2019-09-08,Rosengård FCR,Djurgården DIF,3-1,7,8,0,3,1
95,Omgång 16,2019-09-09,Växjö VÄX,Linköping LFC,1-0,7,10,6,1,0
96,Omgång 17,2019-09-13,Linköping LFC,Eskilstuna ESK,0-1,8,6,1,0,1
97,Omgång 17,2019-09-14,Kristianstad KRI,Kungsbacka KUN,5-0,8,3,4,5,0
98,Omgång 17,2019-09-15,Piteå PIT,Växjö VÄX,4-1,8,7,10,4,1
99,Omgång 17,2019-09-15,Vittsjö VIT,Örebro ÖRE,1-0,8,9,11,1,0
100,Omgång 17,2019-09-15,Kopparbergs / Göteborg KOP,Rosengård FCR,0-2,8,2,8,0,2
101,Omgång 17,2019-09-15,Djurgården DIF,LB07 LIM,0-0,8,0,5,0,0
102,Omgång 18,2019-09-21,LB07 LIM,Kristianstad KRI,2-2,9,5,3,2,2
103,Omgång 18,2019-09-21,Djurgården DIF,Kopparbergs / Göteborg KOP,1-3,9,0,2,1,3
104,Omgång 18,2019-09-22,Rosengård FCR,Örebro ÖRE,3-1,9,8,11,3,1
105,Omgång 18,2019-09-22,Piteå PIT,Linköping LFC,1-0,9,7,6,1,0
106,Omgång 18,2019-09-22,Eskilstuna ESK,Vittsjö VIT,1-0,9,1,9,1,0
107,Omgång 18,2019-09-23,Växjö VÄX,Kungsbacka KUN,5-5,9,10,4,5,5
108,Omgång 19,2019-09-26,Linköping LFC,Djurgården DIF,4-1,10,6,0,4,1
109,Omgång 19,2019-09-28,LB07 LIM,Växjö VÄX,1-1,10,5,10,1,1
110,Omgång 19,2019-09-28,Kungsbacka KUN,Rosengård FCR,1-2,10,4,8,1,2
111,Omgång 19,2019-09-29,Kopparbergs / Göteborg KOP,Vittsjö VIT,2-1,10,2,9,2,1
112,Omgång 19,2019-09-29,Kristianstad KRI,Piteå PIT,1-1,10,3,7,1,1
113,Omgång 19,2019-09-29,Örebro ÖRE,Eskilstuna ESK,2-2,10,11,1,2,2
114,Omgång 20,2019-10-12,Piteå PIT,Kopparbergs / Göteborg KOP,0-0,12,7,2,0,0
115,Omgång 20,2019-10-12,Djurgården DIF,Kungsbacka KUN,0-0,12,0,4,0,0
116,Omgång 20,2019-10-13,Vittsjö VIT,Kristianstad KRI,0-0,12,9,3,0,0
117,Omgång 20,2019-10-13,Växjö VÄX,Örebro ÖRE,0-0,12,10,11,0,0
118,Omgång 20,2019-10-13,Rosengård FCR,Linköping LFC,0-0,12,8,6,0,0
119,Omgång 20,2019-10-13,Eskilstuna ESK,LB07 LIM,0-0,12,1,5,0,0
120,Omgång 21,2019-10-19,Kungsbacka KUN,Örebro ÖRE,0-0,13,4,11,0,0
121,Omgång 21,2019-10-19,Eskilstuna ESK,Kristianstad KRI,0-0,13,1,3,0,0
122,Omgång 21,2019-10-20,Djurgården DIF,Piteå PIT,0-0,13,0,7,0,0
123,Omgång 21,2019-10-20,Kopparbergs / Göteborg KOP,Växjö VÄX,0-0,13,2,10,0,0
124,Omgång 21,2019-10-20,Rosengård FCR,Vittsjö VIT,0-0,13,8,9,0,0
125,Omgång 21,2019-10-20,Linköping LFC,LB07 LIM,0-0,13,6,5,0,0
126,Omgång 22,2019-10-26,Vittsjö VIT,Djurgården DIF,0-0,14,9,0,0,0
127,Omgång 22,2019-10-26,Växjö VÄX,Eskilstuna ESK,0-0,14,10,1,0,0
128,Omgång 22,2019-10-26,Örebro ÖRE,Linköping LFC,0-0,14,11,6,0,0
129,Omgång 22,2019-10-26,LB07 LIM,Kopparbergs / Göteborg KOP,0-0,14,5,2,0,0
130,Omgång 22,2019-10-26,Kristianstad KRI,Rosengård FCR,0-0,14,3,8,0,0
131,Omgång 22,2019-10-26,Piteå PIT,Kungsbacka KUN,0-0,14,7,4,0,0
