Round,Date,Home,Away,Score
Omgång 14,2019-08-21,Djurgården DIF,Örebro ÖRE,1-4
Omgång 15,2019-08-24,Kopparbergs / Göteborg KOP,Linköping LFC,1-1
Omgång 15,2019-08-24,Kungsbacka KUN,Eskilstuna ESK,0-4
Omgång 15,2019-08-25,Vittsjö VIT,Växjö VÄX,2-0
Omgång 15,2019-08-25,Piteå PIT,Rosengård FCR,1-1
Omgång 15,2019-08-25,Kristianstad KRI,Djurgården DIF,2-0
Omgång 15,2019-08-25,Örebro ÖRE,LB07 LIM,0-1
Omgång 16,2019-09-07,Eskilstuna ESK,Kopparbergs / Göteborg KOP,2-1
Omgång 16,2019-09-07,Örebro ÖRE,Kristianstad KRI,0-1
Omgång 16,2019-09-07,LB07 LIM,Piteå PIT,1-1
Omgång 16,2019-09-07,Kungsbacka KUN,Vittsjö VIT,0-1
Omgång 16,2019-09-08,Rosengård FCR,Djurgården DIF,3-1
Omgång 16,2019-09-09,Växjö VÄX,Linköping LFC,1-0
Omgång 17,2019-09-13,Linköping LFC,Eskilstuna ESK,0-1
Omgång 17,2019-09-14,Kristianstad KRI,Kungsbacka KUN,5-0
Omgång 17,2019-09-15,Piteå PIT,Växjö VÄX,4-1
Omgång 17,2019-09-15,Vittsjö VIT,Örebro ÖRE,1-0
Omgång 17,2019-09-15,Kopparbergs / Göteborg KOP,Rosengård FCR,0-2
Omgång 17,2019-09-15,Djurgården DIF,LB07 LIM,0-0
Omgång 18,2019-09-21,LB07 LIM,Kristianstad KRI,2-2
Omgång 18,2019-09-21,Djurgården DIF,Kopparbergs / Göteborg KOP,1-3
Omgång 18,2019-09-22,Rosengård FCR,Örebro ÖRE,3-1
Omgång 18,2019-09-22,Piteå PIT,Linköping LFC,1-0
Omgång 18,2019-09-22,Eskilstuna ESK,Vittsjö VIT,1-0
Omgång 18,2019-09-23,Växjö VÄX,Kungsbacka KUN,5-5
Omgång 19,2019-09-26,Linköping LFC,Djurgården DIF,4-1
Omgång 19,2019-09-28,LB07 LIM,Växjö VÄX,1-1
Omgång 19,2019-09-28,Kungsbacka KUN,Rosengård FCR,1-2
Omgång 19,2019-09-29,Kopparbergs / Göteborg KOP,Vittsjö VIT,2-1
Omgång 19,2019-09-29,Kristianstad KRI,Piteå PIT,1-1
Omgång 19,2019-09-29,Örebro ÖRE,Eskilstuna ESK,2-2
Omgång 20,2019-10-12,Piteå PIT,Kopparbergs / Göteborg KOP,1-2
Omgång 20,2019-10-12,Djurgården DIF,Kungsbacka KUN,3-0
Omgång 20,2019-10-13,Vittsjö VIT,Kristianstad KRI,2-0
Omgång 20,2019-10-13,Växjö VÄX,Örebro ÖRE,2-1
Omgång 20,2019-10-13,Rosengård FCR,Linköping LFC,3-3
Omgång 20,2019-10-13,Eskilstuna ESK,LB07 LIM,1-0
Omgång 21,2019-10-19,Kungsbacka KUN,Örebro ÖRE,1-5
Omgång 21,2019-10-19,Eskilstuna ESK,Kristianstad KRI,5-0
Omgång 21,2019-10-20,Djurgården DIF,Piteå PIT,3-3
Omgång 21,2019-10-20,Kopparbergs / Göteborg KOP,Växjö VÄX,2-1
Omgång 21,2019-10-20,Rosengård FCR,Vittsjö VIT,1-1
Omgång 21,2019-10-20,Linköping LFC,LB07 LIM,3-0
Omgång 22,2019-10-26,Vittsjö VIT,Djurgården DIF,2-0
Omgång 22,2019-10-26,Växjö VÄX,Eskilstuna ESK,1-1
Omgång 22,2019-10-26,Örebro ÖRE,Linköping LFC,1-3
Omgång 22,2019-10-26,LB07 LIM,Kopparbergs / Göteborg KOP,0-2
Omgång 22,2019-10-26,Kristianstad KRI,Rosengård FCR,0-1
Omgång 22,2019-10-26,Piteå PIT,Kungsbacka KUN,3-0
