Round,Date,Home,Away,Score
Omgång 9,2020-08-08,Djurgården DIF,Örebro ÖRE,0-0
Omgång 9,2020-08-08,Linköping LFC,Kristianstad KRI,0-0
Omgång 10,2020-08-12,Örebro ÖRE,IK Uppsala UPP,0-0
Omgång 10,2020-08-12,Piteå PIT,Djurgården DIF,0-0
Omgång 10,2020-08-12,Kristianstad KRI,Växjö VÄX,0-0
Omgång 10,2020-08-12,Vittsjö VIT,Kopparbergs / Göteborg KOP,0-0
Omgång 10,2020-08-12,Umeå IK UME,Eskilstuna ESK,0-0
Omgång 10,2020-08-12,Rosengård FCR,Linköping LFC,0-0
Omgång 11,2020-08-16,Linköping LFC,IK Uppsala UPP,0-0
Omgång 11,2020-08-16,Växjö VÄX,Vittsjö VIT,0-0
Omgång 11,2020-08-16,Eskilstuna ESK,Piteå PIT,0-0
Omgång 11,2020-08-16,Örebro ÖRE,Kristianstad KRI,0-0
Omgång 11,2020-08-17,Kopparbergs / Göteborg KOP,Umeå IK UME,0-0
Omgång 11,2020-08-17,Djurgården DIF,Rosengård FCR,0-0
Omgång 12,2020-08-22,Piteå PIT,Umeå IK UME,0-0
Omgång 12,2020-08-23,IK Uppsala UPP,Örebro ÖRE,0-0
Omgång 12,2020-08-23,Vittsjö VIT,Eskilstuna ESK,0-0
Omgång 12,2020-08-23,Kristianstad KRI,Djurgården DIF,0-0
Omgång 12,2020-08-23,Rosengård FCR,Kopparbergs / Göteborg KOP,0-0
Omgång 12,2020-08-23,Växjö VÄX,Linköping LFC,0-0
Omgång 13,2020-08-29,Umeå IK UME,IK Uppsala UPP,0-0
Omgång 13,2020-08-29,Kristianstad KRI,Kopparbergs / Göteborg KOP,0-0
Omgång 13,2020-08-29,Örebro ÖRE,Linköping LFC,0-0
Omgång 13,2020-08-30,Djurgården DIF,Piteå PIT,0-0
Omgång 13,2020-08-30,Vittsjö VIT,Växjö VÄX,0-0
Omgång 13,2020-08-30,Eskilstuna ESK,Rosengård FCR,0-0
Omgång 14,2020-09-04,Växjö VÄX,Örebro ÖRE,0-0
Omgång 14,2020-09-05,Linköping LFC,Umeå IK UME,0-0
Omgång 14,2020-09-05,IK Uppsala UPP,Vittsjö VIT,0-0
Omgång 14,2020-09-05,Kopparbergs / Göteborg KOP,Eskilstuna ESK,0-0
Omgång 14,2020-09-06,Piteå PIT,Kristianstad KRI,0-0
Omgång 14,2020-09-06,Rosengård FCR,Djurgården DIF,0-0
Omgång 15,2020-09-12,Umeå IK UME,Växjö VÄX,0-0
Omgång 15,2020-09-13,Piteå PIT,IK Uppsala UPP,0-0
Omgång 15,2020-09-13,Linköping LFC,Vittsjö VIT,0-0
Omgång 15,2020-09-13,Kristianstad KRI,Eskilstuna ESK,0-0
Omgång 15,2020-09-13,Djurgården DIF,Kopparbergs / Göteborg KOP,0-0
Omgång 15,2020-09-13,Örebro ÖRE,Rosengård FCR,0-0
Omgång 16,2020-09-26,Växjö VÄX,Kristianstad KRI,0-0
Omgång 16,2020-09-27,Kopparbergs / Göteborg KOP,Piteå PIT,0-0
Omgång 16,2020-09-27,Rosengård FCR,Umeå IK UME,0-0
Omgång 16,2020-09-27,IK Uppsala UPP,Linköping LFC,0-0
Omgång 16,2020-09-27,Vittsjö VIT,Djurgården DIF,0-0
Omgång 16,2020-09-28,Eskilstuna ESK,Örebro ÖRE,0-0
Omgång 17,2020-10-03,Linköping LFC,Rosengård FCR,0-0
Omgång 17,2020-10-03,Umeå IK UME,Kopparbergs / Göteborg KOP,0-0
Omgång 17,2020-10-03,Djurgården DIF,Växjö VÄX,0-0
Omgång 17,2020-10-04,Piteå PIT,Vittsjö VIT,0-0
Omgång 17,2020-10-04,IK Uppsala UPP,Eskilstuna ESK,0-0
Omgång 17,2020-10-04,Kristianstad KRI,Örebro ÖRE,0-0
Omgång 18,2020-10-09,Vittsjö VIT,Umeå IK UME,0-0
Omgång 18,2020-10-11,Växjö VÄX,Piteå PIT,0-0
Omgång 18,2020-10-11,Kopparbergs / Göteborg KOP,IK Uppsala UPP,0-0
Omgång 18,2020-10-11,Rosengård FCR,Kristianstad KRI,0-0
Omgång 18,2020-10-11,Eskilstuna ESK,Linköping LFC,0-0
Omgång 18,2020-10-11,Örebro ÖRE,Djurgården DIF,0-0
Omgång 19,2020-10-17,IK Uppsala UPP,Växjö VÄX,0-0
Omgång 19,2020-10-17,Vittsjö VIT,Rosengård FCR,0-0
Omgång 19,2020-10-17,Djurgården DIF,Linköping LFC,0-0
Omgång 19,2020-10-17,Kopparbergs / Göteborg KOP,Örebro ÖRE,0-0
Omgång 19,2020-10-18,Umeå IK UME,Kristianstad KRI,0-0
Omgång 19,2020-10-18,Piteå PIT,Eskilstuna ESK,0-0
Omgång 20,2020-10-31,Örebro ÖRE,Umeå IK UME,0-0
Omgång 20,2020-11-01,Eskilstuna ESK,Djurgården DIF,0-0
Omgång 20,2020-11-01,Rosengård FCR,IK Uppsala UPP,0-0
Omgång 20,2020-11-01,Linköping LFC,Piteå PIT,0-0
Omgång 20,2020-11-01,Kristianstad KRI,Vittsjö VIT,0-0
Omgång 20,2020-11-01,Växjö VÄX,Kopparbergs / Göteborg KOP,0-0
Omgång 21,2020-11-07,Piteå PIT,Rosengård FCR,0-0
Omgång 21,2020-11-07,Umeå IK UME,Djurgården DIF,0-0
Omgång 21,2020-11-07,Växjö VÄX,Eskilstuna ESK,0-0
Omgång 21,2020-11-07,Linköping LFC,Kopparbergs / Göteborg KOP,0-0
Omgång 21,2020-11-07,IK Uppsala UPP,Kristianstad KRI,0-0
Omgång 21,2020-11-07,Vittsjö VIT,Örebro ÖRE,0-0
Omgång 22,2020-11-15,Kopparbergs / Göteborg KOP,Vittsjö VIT,0-0
Omgång 22,2020-11-15,Eskilstuna ESK,Umeå IK UME,0-0
Omgång 22,2020-11-15,Rosengård FCR,Växjö VÄX,0-0
Omgång 22,2020-11-15,Djurgården DIF,IK Uppsala UPP,0-0
Omgång 22,2020-11-15,Örebro ÖRE,Piteå PIT,0-0
Omgång 22,2020-11-15,Kristianstad KRI,Linköping LFC,0-0
