Round,Date,Home,Away,Score
Omgång 1,2020-06-27,Umeå IK UME,Piteå PIT,2-3
Omgång 1,2020-06-27,Linköping LFC,Växjö VÄX,3-0
Omgång 1,2020-06-27,IK Uppsala UPP,Djurgården DIF,3-2
Omgång 1,2020-06-27,Örebro ÖRE,Eskilstuna ESK,3-3
Omgång 1,2020-06-27,Rosengård FCR,Vittsjö VIT,1-0
Omgång 1,2020-06-28,Kopparbergs / Göteborg KOP,Kristianstad KRI,5-1
Omgång 2,2020-07-04,Eskilstuna ESK,Kopparbergs / Göteborg KOP,1-1
Omgång 2,2020-07-04,Växjö VÄX,IK Uppsala UPP,1-1
Omgång 2,2020-07-04,Kristianstad KRI,Rosengård FCR,0-1
Omgång 2,2020-07-04,Djurgården DIF,Umeå IK UME,1-1
Omgång 2,2020-07-05,Vittsjö VIT,Linköping LFC,1-2
Omgång 2,2020-07-05,Piteå PIT,Örebro ÖRE,1-1
Omgång 3,2020-07-08,Umeå IK UME,Örebro ÖRE,0-2
Omgång 3,2020-07-10,Kopparbergs / Göteborg KOP,Växjö VÄX,4-0
Omgång 3,2020-07-10,Rosengård FCR,Eskilstuna ESK,1-2
Omgång 3,2020-07-11,Linköping LFC,Djurgården DIF,1-0
Omgång 3,2020-07-11,IK Uppsala UPP,Piteå PIT,0-1
Omgång 3,2020-07-11,Vittsjö VIT,Kristianstad KRI,3-3
Omgång 4,2020-07-15,Piteå PIT,Linköping LFC,2-2
Omgång 4,2020-07-15,Örebro ÖRE,Kopparbergs / Göteborg KOP,0-1
Omgång 4,2020-07-15,Växjö VÄX,Rosengård FCR,0-3
Omgång 4,2020-07-15,IK Uppsala UPP,Umeå IK UME,3-0
Omgång 4,2020-07-15,Eskilstuna ESK,Kristianstad KRI,2-3
Omgång 4,2020-07-15,Djurgården DIF,Vittsjö VIT,2-1
Omgång 5,2020-07-19,Umeå IK UME,Rosengård FCR,0-3
Omgång 5,2020-07-19,Linköping LFC,Eskilstuna ESK,1-0
Omgång 5,2020-07-19,Vittsjö VIT,Piteå PIT,0-1
Omgång 5,2020-07-19,Kristianstad KRI,IK Uppsala UPP,2-1
Omgång 5,2020-07-19,Örebro ÖRE,Växjö VÄX,1-0
Omgång 5,2020-07-20,Kopparbergs / Göteborg KOP,Djurgården DIF,2-0
Omgång 6,2020-07-24,Rosengård FCR,Örebro ÖRE,6-0
Omgång 6,2020-07-24,Umeå IK UME,Linköping LFC,3-2
Omgång 6,2020-07-25,Piteå PIT,Växjö VÄX,0-1
Omgång 6,2020-07-25,IK Uppsala UPP,Kopparbergs / Göteborg KOP,0-2
Omgång 6,2020-07-25,Eskilstuna ESK,Vittsjö VIT,3-1
Omgång 6,2020-07-25,Djurgården DIF,Kristianstad KRI,3-3
Omgång 7,2020-07-29,Kristianstad KRI,Piteå PIT,0-0
Omgång 7,2020-07-29,Vittsjö VIT,IK Uppsala UPP,0-0
Omgång 7,2020-07-29,Djurgården DIF,Eskilstuna ESK,0-0
Omgång 7,2020-07-29,Linköping LFC,Örebro ÖRE,0-0
Omgång 7,2020-07-30,Växjö VÄX,Umeå IK UME,0-0
Omgång 7,2020-07-30,Kopparbergs / Göteborg KOP,Rosengård FCR,0-0
Omgång 8,2020-08-02,Kristianstad KRI,Umeå IK UME,0-0
Omgång 8,2020-08-02,Rosengård FCR,Piteå PIT,0-0
Omgång 8,2020-08-02,Växjö VÄX,Djurgården DIF,0-0
Omgång 8,2020-08-02,Örebro ÖRE,Vittsjö VIT,0-0
Omgång 8,2020-08-03,Kopparbergs / Göteborg KOP,Linköping LFC,0-0
Omgång 8,2020-08-03,Eskilstuna ESK,IK Uppsala UPP,0-0
Omgång 9,2020-08-07,IK Uppsala UPP,Rosengård FCR,0-0
Omgång 9,2020-08-08,Umeå IK UME,Vittsjö VIT,0-0
Omgång 9,2020-08-08,Piteå PIT,Kopparbergs / Göteborg KOP,0-0
Omgång 9,2020-08-08,Eskilstuna ESK,Växjö VÄX,0-0
