Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA
Omgång 9,2019-07-28,Djurgården DIF,Eskilstuna ESK,0-3,-23,15,24,33,47,18,14,14,24,12
Omgång 10,2019-07-31,LB07 LIM,Linköping LFC,0-4,-28,15,16,34,44,19,10,13,18,15
Omgång 10,2019-07-31,Eskilstuna ESK,Kungsbacka KUN,3-0,15,-55,33,14,18,69,19,6,6,36
Omgång 10,2019-07-31,Kopparbergs / Göteborg KOP,Piteå PIT,1-1,24,6,43,27,19,21,21,12,8,11
Omgång 10,2019-07-31,Vittsjö VIT,Rosengård FCR,0-0,18,34,31,50,13,16,17,15,4,5
Omgång 10,2019-07-31,Växjö VÄX,Kristianstad KRI,2-2,-15,9,24,38,39,29,16,14,13,20
Omgång 10,2019-07-31,Örebro ÖRE,Djurgården DIF,3-1,0,-23,27,24,27,47,9,10,12,23
Omgång 11,2019-08-04,Linköping LFC,Kopparbergs / Göteborg KOP,1-0,15,24,34,43,19,19,21,22,4,11
Omgång 11,2019-08-04,Kristianstad KRI,Örebro ÖRE,2-0,9,0,38,27,29,27,24,18,9,15
Omgång 11,2019-08-04,Kungsbacka KUN,Växjö VÄX,0-3,-55,-15,14,24,69,39,8,8,33,26
Omgång 11,2019-08-04,Piteå PIT,Eskilstuna ESK,3-1,6,15,27,33,21,18,15,14,10,12
Omgång 11,2019-08-04,LB07 LIM,Vittsjö VIT,0-3,-28,18,16,31,44,13,10,14,18,9
Omgång 11,2019-08-05,Djurgården DIF,Rosengård FCR,0-3,-23,34,24,50,47,16,14,15,24,5
Omgång 12,2019-08-09,Växjö VÄX,Djurgården DIF,2-1,-15,-23,24,24,39,47,16,10,13,23
Omgång 12,2019-08-10,Örebro ÖRE,Piteå PIT,1-0,0,6,27,27,27,21,9,12,12,11
Omgång 12,2019-08-10,Vittsjö VIT,LB07 LIM,4-0,18,-28,31,16,13,44,17,6,4,26
Omgång 12,2019-08-10,Rosengård FCR,Eskilstuna ESK,2-1,34,15,50,33,16,18,35,14,11,12
Omgång 12,2019-08-10,Kopparbergs / Göteborg KOP,Kungsbacka KUN,6-0,24,-55,43,14,19,69,21,6,8,36
Omgång 12,2019-08-10,Linköping LFC,Kristianstad KRI,0-0,15,9,34,38,19,29,21,14,4,20
Omgång 13,2019-08-14,Eskilstuna ESK,Djurgården DIF,4-2,15,-23,33,24,18,47,19,10,6,23
Omgång 13,2019-08-14,Örebro ÖRE,Kopparbergs / Göteborg KOP,0-3,0,24,27,43,27,19,9,22,12,11
Omgång 13,2019-08-14,Piteå PIT,Vittsjö VIT,0-0,6,18,27,31,21,13,15,14,10,9
Omgång 13,2019-08-14,Kristianstad KRI,Växjö VÄX,3-1,9,-15,38,24,29,39,24,8,9,26
Omgång 13,2019-08-14,Rosengård FCR,LB07 LIM,3-0,34,-28,50,16,16,44,35,6,11,26
Omgång 13,2019-08-14,Kungsbacka KUN,Linköping LFC,2-1,-55,15,14,34,69,19,8,13,33,15
Omgång 14,2019-08-18,Kopparbergs / Göteborg KOP,Kristianstad KRI,2-0,24,9,43,38,19,29,21,14,8,20
Omgång 14,2019-08-18,Eskilstuna ESK,Piteå PIT,1-1,15,6,33,27,18,21,19,12,6,11
Omgång 14,2019-08-18,Linköping LFC,Vittsjö VIT,2-1,15,18,34,31,19,13,21,14,4,9
Omgång 14,2019-08-20,LB07 LIM,Kungsbacka KUN,2-0,-28,-55,16,14,44,69,10,6,18,36
Omgång 14,2019-08-20,Växjö VÄX,Rosengård FCR,0-0,-15,34,24,50,39,16,16,15,13,5
Omgång 14,2019-08-21,Djurgården DIF,Örebro ÖRE,1-4,-23,0,24,27,47,27,14,18,24,15
Omgång 15,2019-08-24,Kopparbergs / Göteborg KOP,Linköping LFC,1-1,24,15,43,34,19,19,21,13,8,15
Omgång 15,2019-08-24,Kungsbacka KUN,Eskilstuna ESK,0-4,-55,15,14,33,69,18,8,14,33,12
Omgång 15,2019-08-25,Örebro ÖRE,LB07 LIM,0-1,0,-28,27,16,27,44,9,6,12,26
Omgång 15,2019-08-25,Kristianstad KRI,Djurgården DIF,2-0,9,-23,38,24,29,47,24,10,9,23
Omgång 15,2019-08-25,Vittsjö VIT,Växjö VÄX,2-0,18,-15,31,24,13,39,17,8,4,26
Omgång 15,2019-08-25,Piteå PIT,Rosengård FCR,1-1,6,34,27,50,21,16,15,15,10,5
Omgång 16,2019-09-07,Eskilstuna ESK,Kopparbergs / Göteborg KOP,2-1,15,24,33,43,18,19,19,22,6,11
Omgång 16,2019-09-07,Örebro ÖRE,Kristianstad KRI,0-1,0,9,27,38,27,29,9,14,12,20
Omgång 16,2019-09-07,LB07 LIM,Piteå PIT,1-1,-28,6,16,27,44,21,10,12,18,11
Omgång 16,2019-09-07,Kungsbacka KUN,Vittsjö VIT,0-1,-55,18,14,31,69,13,8,14,33,9
Omgång 16,2019-09-08,Rosengård FCR,Djurgården DIF,3-1,34,-23,50,24,16,47,35,10,11,23
Omgång 16,2019-09-09,Växjö VÄX,Linköping LFC,1-0,-15,15,24,34,39,19,16,13,13,15
Omgång 17,2019-09-13,Linköping LFC,Eskilstuna ESK,0-1,15,15,34,33,19,18,21,14,4,12
Omgång 17,2019-09-14,Kristianstad KRI,Kungsbacka KUN,5-0,9,-55,38,14,29,69,24,6,9,36
Omgång 17,2019-09-15,Kopparbergs / Göteborg KOP,Rosengård FCR,0-2,24,34,43,50,19,16,21,15,8,5
Omgång 17,2019-09-15,Djurgården DIF,LB07 LIM,0-0,-23,-28,24,16,47,44,14,6,24,26
Omgång 17,2019-09-15,Piteå PIT,Växjö VÄX,4-1,6,-15,27,24,21,39,15,8,10,26
Omgång 17,2019-09-15,Vittsjö VIT,Örebro ÖRE,1-0,18,0,31,27,13,27,17,18,4,15
Omgång 18,2019-09-21,Djurgården DIF,Kopparbergs / Göteborg KOP,1-3,-23,24,24,43,47,19,14,22,24,11
Omgång 18,2019-09-21,LB07 LIM,Kristianstad KRI,2-2,-28,9,16,38,44,29,10,14,18,20
Omgång 18,2019-09-21,Djurgården DIF,Kopparbergs / Göteborg KOP,1-3,-23,24,24,43,47,19,14,22,24,11
Omgång 18,2019-09-21,LB07 LIM,Kristianstad KRI,2-2,-28,9,16,38,44,29,10,14,18,20
Omgång 18,2019-09-22,Rosengård FCR,Örebro ÖRE,3-1,34,0,50,27,16,27,35,18,11,15
Omgång 18,2019-09-22,Piteå PIT,Linköping LFC,1-0,6,15,27,34,21,19,15,13,10,15
Omgång 18,2019-09-22,Eskilstuna ESK,Vittsjö VIT,1-0,15,18,33,31,18,13,19,14,6,9
Omgång 18,2019-09-22,Rosengård FCR,Örebro ÖRE,3-1,34,0,50,27,16,27,35,18,11,15
Omgång 18,2019-09-22,Piteå PIT,Linköping LFC,1-0,6,15,27,34,21,19,15,13,10,15
Omgång 18,2019-09-22,Eskilstuna ESK,Vittsjö VIT,1-0,15,18,33,31,18,13,19,14,6,9
